Array Size(N),Threshold(S),Key Comparison 1, Key Comparison 2, Key Comparison 3, Key Comparison 4, Key Comparison 5,Average Key Comparison,Array Size(N=1000),Array Size(N=2500),Array Size(N=5000),Array Size(N=7500),Array Size(N=10000),Array Size(N=25000),Array Size(N=50000),Array Size(N=75000),Array Size(N=100000),Array Size(N=250000),Array Size(N=500000),Array Size(N=750000),Array Size(N=1000000),Array Size(N=2500000),Array Size(N=5000000),Array Size(N=7500000),Array Size(N=10000000)
10000,20,143463,143371,143303,142847,143011,143199,,,,,143199,,,,,,,,,,,,
25000,2,333964,333884,334114,334091,334148,334040.2,,,,,,334040.2,,,,,,,,,,,
25000,3,334064,333995,334258,334180,334268,334153,,,,,,334153,,,,,,,,,,,
25000,4,334064,333995,334258,334180,334268,334153,,,,,,334153,,,,,,,,,,,
25000,5,338419,338598,338503,338556,339143,338643.8,,,,,,338643.8,,,,,,,,,,,
25000,6,339158,339406,339289,339288,339889,339406,,,,,,339406,,,,,,,,,,,
25000,7,339158,339406,339289,339288,339889,339406,,,,,,339406,,,,,,,,,,,
25000,8,339158,339406,339289,339288,339889,339406,,,,,,339406,,,,,,,,,,,
25000,9,339158,339406,339289,339288,339889,339406,,,,,,339406,,,,,,,,,,,
25000,10,339158,339406,339289,339288,339889,339406,,,,,,339406,,,,,,,,,,,
25000,11,354551,355325,354563,354520,355273,354846.4,,,,,,354846.4,,,,,,,,,,,
25000,12,359564,360287,359411,359461,360216,359787.8,,,,,,359787.8,,,,,,,,,,,
25000,13,359564,360287,359411,359461,360216,359787.8,,,,,,359787.8,,,,,,,,,,,
25000,14,359564,360287,359411,359461,360216,359787.8,,,,,,359787.8,,,,,,,,,,,
25000,15,359564,360287,359411,359461,360216,359787.8,,,,,,359787.8,,,,,,,,,,,
25000,16,359564,360287,359411,359461,360216,359787.8,,,,,,359787.8,,,,,,,,,,,
25000,17,359564,360287,359411,359461,360216,359787.8,,,,,,359787.8,,,,,,,,,,,
25000,18,359564,360287,359411,359461,360216,359787.8,,,,,,359787.8,,,,,,,,,,,
25000,19,359564,360287,359411,359461,360216,359787.8,,,,,,359787.8,,,,,,,,,,,
25000,20,359564,360287,359411,359461,360216,359787.8,,,,,,359787.8,,,,,,,,,,,
50000,2,718055,718096,718241,718052,718212,718131.2,,,,,,,718131.2,,,,,,,,,,
50000,3,718258,718295,718443,718349,718375,718344,,,,,,,718344,,,,,,,,,,
50000,4,718258,718295,718443,718349,718375,718344,,,,,,,718344,,,,,,,,,,
50000,5,727541,727156,727242,727357,727304,727320,,,,,,,727320,,,,,,,,,,
50000,6,729033,728881,728823,729098,728993,728965.6,,,,,,,728965.6,,,,,,,,,,
50000,7,729033,728881,728823,729098,728993,728965.6,,,,,,,728965.6,,,,,,,,,,
50000,8,729033,728881,728823,729098,728993,728965.6,,,,,,,728965.6,,,,,,,,,,
50000,9,729033,728881,728823,729098,728993,728965.6,,,,,,,728965.6,,,,,,,,,,
50000,10,729033,728881,728823,729098,728993,728965.6,,,,,,,728965.6,,,,,,,,,,
